報告書_id,文_id,動詞_id,動詞,主体,起点,対象,状況,着点,手段,関係,事象
112000490,0,4,ある, , , , ,潤滑油, , ,潤滑油 ある
112000490,0,4,ある, , , , ,対象設備, , ,対象設備 ある
112000490,0,4,ある, , , , ,継続使用可能な状態, , ,継続使用可能な状態 ある
112000490,1,9,ある, , , , ,正常な状態, , ,正常な状態 ある
112000490,3,3,低下する, , , , , , ,今回のIs値はのマイナス乗,今回のIs値はのマイナス乗 低下する
112000490,7,5,良好, , , , ,計数汚染度, , ,計数汚染度 良好
112000490,7,5,良好, , , , ,重量汚染度, , ,重量汚染度 良好
112000490,8,8,良好, , ,酸価, ,水分, ,IR,酸価 水分 IR 良好
112000490,8,8,良好, , ,RBOTのデータ, ,水分, ,IR,RBOTのデータ 水分 IR 良好
112000490,10,6,到達する, , , , ,限界値, , ,限界値 到達する
112000490,17,3,ある, , , ,新油値の.mgKOH/g以内, , , ,新油値の.mgKOH/g以内 ある
112000490,20,4,ある, , , ,NAS級,良好計数汚染度, , ,NAS級 良好計数汚染度 ある
112000490,20,4,ある, , , ,当社推奨の管理限界値NAS級以内,良好計数汚染度, , ,当社推奨の管理限界値NAS級以内 良好計数汚染度 ある
112000490,21,4,ある, , , , ,良好重量汚染度, , ,良好重量汚染度 ある
112000490,23,8,ある, , , , ,良好の範囲, ,異常摩耗の早期発見パラメータであるIs値がのマイナス乗,良好の範囲 異常摩耗の早期発見パラメータであるIs値がのマイナス乗 ある
112000490,23,11,良好, , , , ,潤滑状態, , ,潤滑状態 良好
112000490,25,3,発生する, , , , , ,摩耗, ,摩耗 発生する
112000490,25,9,混入する, ,外部, , , , , ,外部 混入する
112000490,25,13,検出する, , ,ナトリウム, , , , ,ナトリウム 検出する
112000490,25,13,検出する, , ,モリブデン, , , , ,モリブデン 検出する
112000492,0,4,ある, , , , ,グリース, , ,グリース ある
112000492,0,4,ある, , , , ,対象設備, , ,対象設備 ある
112000492,0,4,ある, , , , ,継続使用可能な状態, , ,継続使用可能な状態 ある
112000492,1,9,ある, , , , ,正常な状態, , ,正常な状態 ある
112000492,5,15,良好, , ,滴点, ,鉄, , ,滴点 鉄 良好
112000492,5,15,良好, , ,滴点, ,鉛, , ,滴点 鉛 良好
112000492,5,15,良好, , ,滴点, ,ニッケル, , ,滴点 ニッケル 良好
112000492,5,15,良好, , ,滴点, ,錫・ギヤリン, , ,滴点 錫・ギヤリン 良好
112000492,5,15,良好, , ,滴点, ,カルシウム, , ,滴点 カルシウム 良好
112000492,5,15,良好, , ,滴点, ,アルミニウム, , ,滴点 アルミニウム 良好
112000492,5,15,良好, , ,滴点, ,ナトリウム, , ,滴点 ナトリウム 良好
112000492,5,15,良好, , ,滴点, ,モリブデン・添加剤, , ,滴点 モリブデン・添加剤 良好
112000492,5,15,良好, , ,滴点, ,増ちょう剤, , ,滴点 増ちょう剤 良好
112000492,5,15,良好, , ,滴点, ,外部混入異物グリースのちょう度, , ,滴点 外部混入異物グリースのちょう度 良好
112000492,5,15,良好, , ,酸価, ,鉄, , ,酸価 鉄 良好
112000492,5,15,良好, , ,酸価, ,鉛, , ,酸価 鉛 良好
112000492,5,15,良好, , ,酸価, ,ニッケル, , ,酸価 ニッケル 良好
112000492,5,15,良好, , ,酸価, ,錫・ギヤリン, , ,酸価 錫・ギヤリン 良好
112000492,5,15,良好, , ,酸価, ,カルシウム, , ,酸価 カルシウム 良好
112000492,5,15,良好, , ,酸価, ,アルミニウム, , ,酸価 アルミニウム 良好
112000492,5,15,良好, , ,酸価, ,ナトリウム, , ,酸価 ナトリウム 良好
112000492,5,15,良好, , ,酸価, ,モリブデン・添加剤, , ,酸価 モリブデン・添加剤 良好
112000492,5,15,良好, , ,酸価, ,増ちょう剤, , ,酸価 増ちょう剤 良好
112000492,5,15,良好, , ,酸価, ,外部混入異物グリースのちょう度, , ,酸価 外部混入異物グリースのちょう度 良好
112000492,5,15,良好, , ,IRのデータ, ,鉄, , ,IRのデータ 鉄 良好
112000492,5,15,良好, , ,IRのデータ, ,鉛, , ,IRのデータ 鉛 良好
112000492,5,15,良好, , ,IRのデータ, ,ニッケル, , ,IRのデータ ニッケル 良好
112000492,5,15,良好, , ,IRのデータ, ,錫・ギヤリン, , ,IRのデータ 錫・ギヤリン 良好
112000492,5,15,良好, , ,IRのデータ, ,カルシウム, , ,IRのデータ カルシウム 良好
112000492,5,15,良好, , ,IRのデータ, ,アルミニウム, , ,IRのデータ アルミニウム 良好
112000492,5,15,良好, , ,IRのデータ, ,ナトリウム, , ,IRのデータ ナトリウム 良好
112000492,5,15,良好, , ,IRのデータ, ,モリブデン・添加剤, , ,IRのデータ モリブデン・添加剤 良好
112000492,5,15,良好, , ,IRのデータ, ,増ちょう剤, , ,IRのデータ 増ちょう剤 良好
112000492,5,15,良好, , ,IRのデータ, ,外部混入異物グリースのちょう度, , ,IRのデータ 外部混入異物グリースのちょう度 良好
112000492,9,13,検出する,カルボン酸の吸収, , , , , , ,カルボン酸の吸収 検出する
112000492,10,3,留まる, , ,良好ちょう度値, , , , ,良好ちょう度値 留まる
112000492,12,3,良好, , ,潤滑状態, , , , ,潤滑状態 良好
112000492,12,9,検出する, , ,摩耗粒子, , , , ,摩耗粒子 検出する
112000492,14,3,発生する, , , , , ,摩耗, ,摩耗 発生する
112000492,14,16,検出する, , ,リン, , , , ,リン 検出する
112000492,14,16,検出する, , ,カルシウム, , , , ,カルシウム 検出する
112000492,14,16,検出する, , ,アルミニウム, , , , ,アルミニウム 検出する
112000492,14,16,検出する, , ,ナトリウム, , , , ,ナトリウム 検出する
112000492,14,16,検出する, , ,モリブデン, , , , ,モリブデン 検出する
112001768,0,3,ある, , , , ,対象設備, , ,対象設備 ある
112001768,0,3,ある, , , , ,継続使用可能な状態, , ,継続使用可能な状態 ある
112001768,1,4,低下する, , ,粘度, ,潤滑油, , ,粘度 潤滑油 低下する
112001768,2,8,懸念する,摩耗の発生, , , , ,潤滑部, ,摩耗の発生 潤滑部 懸念する
112001768,4,2,汚染する, , ,油槽内の清掃潤滑油, , , , ,油槽内の清掃潤滑油 汚染する
112001768,4,5,汚染する, , , , ,油槽内, , ,油槽内 汚染する
112001768,5,6,清掃する, , ,油槽内, , , , ,油槽内 清掃する
112001768,5,6,清掃する, , ,油, , , , ,油 清掃する
112001768,5,9,充填する, , ,油, , , , ,油 充填する
112001768,6,10,発見する, ,データの変化,異常の兆候, , , , ,データの変化 異常の兆候 発見する
112001768,8,10,ある, , , , ,厳しい状態, , ,厳しい状態 ある
112001768,10,3,高い, , , , ,今回のIs値, , ,今回のIs値 高い
112001768,13,2,なる, , , , , , ,高温,高温 なる
112001768,15,5,押し込める,潤滑油, , , ,ギヤ歯面, , ,潤滑油 ギヤ歯面 押し込める
112001768,15,5,押し込める,潤滑油, , , ,軌道面, , ,潤滑油 軌道面 押し込める
112001768,15,7,なる, , , , , , ,高圧状態,高圧状態 なる
112001768,15,10,なる, , , ,圧縮熱, , ,高温状態,圧縮熱 高温状態 なる
112001768,15,14,起こす, , ,重合反応, , , , ,重合反応 起こす
112001768,16,4,なす, , ,高圧高温状態の解消, , , , ,高圧高温状態の解消 なす
112001768,16,7,進行する, , ,潤滑油の劣化, , , , ,潤滑油の劣化 進行する
112001768,16,11,因る, , , , , , ,上昇,上昇 因る
112001768,18,9,到達する, , , , ,鉄・エンジン部品ニッケル, , ,鉄・エンジン部品ニッケル 到達する
112001768,18,9,到達する, , , , ,リン, , ,リン 到達する
112001768,18,9,到達する, , , , ,亜鉛, , ,亜鉛 到達する
112001768,18,9,到達する, , , , ,カルシウム, , ,カルシウム 到達する
112001768,18,9,到達する, , , , ,ナトリウム, , ,ナトリウム 到達する
